id,seeker_post,response_post
502,"Friendship, um, I've-I've grown close to many people that I care about. So, I would like them to be accepting of me as well.","Okay, great. And, how about friendship?"
503,Yeah.,"Great. So, being a good friend and-"
504,"Yeah, just a sense of like fitting in and not-- And like getting accepted-","-having people who are good friends, too, is important. And then, what about belonging? You mentioned that one too."
505,"-in general, yeah.",Hm.
506,Yeah.,Yeah. Wanting to be part of a group-
507,"Um, not much, maybe like one or two drinks at the most.","-and kinda. Okay, great. All right, well, one of the things I wanna talk about is, you know, um, you mentioned that you'd like to go out with friends and-and party, and that sort of a thing. And, I'm curious, when you're out in the parties, do you ever have any alcohol?"
508,"Um, I pretty much just have a drink to just have it like, so it looks like I'm drinking, even though I'm not.",Okay. Can you tell me a little bit about how alcohol fits into your overall social scene?
509,So maybe people won't bug me about drinking or something.,Hm.
510,Yeah just-,"Okay, you're kinda getting pressure from other people who are drinking, and it feels easier for you to-"
511,-kinda hold a drink.,Okay.
512,-have one there and pretending to have it.,"And, do you think that, um, this is most weekends or occasionally? How-"
513,Yeah.,-often do you think that you are around alcohol.
514,Um.,Okay.
515,Maybe one or two weekends a month at the most?,"So, one or two weekends a month you're in a situation where there is alcohol?"
516,Not really much.,Okay. And what sort of situations are you in?
517,Yeah.,Uh-huh.
518,"Well, just I guess, at a party or something, someone's house.",Hm.
519,"Or, even if it's not a party, like a small social gathering, maybe there'll be like a few beers around-","So, mainly, just kinda hanging out with friends."
520,-or something.,"Are you ever, um, places where there are parents around or-"
521,"Pretty much, yeah.",-or mostly just-just with the kids?
522,Um—,"Mm-hmm. And, what about driving?"
523,"Mostly just with us, but, sometimes I'll go to like a close friend's house and like I'm close to a family as well. So, we'll all just hang out.",Yeah. Do you ever go anywhere in a car after you've had any alcohol?
524,"Um, like drunk driving?","Okay. So, that's something that you've sort of made a decision about. It sound like you—"
525,"Um, definitely not. I've never drunk-driven, and I've never been in a car with a drunk driver.",Okay. What do you know about how that's dangerous?
526,"Yeah, because I know that's extremely dangerous, so.","So, you're really are trying to be safe and-and make sure that-"
527,"Um, well, alcohol definitely impairs your judgment. So, I mean, driving under the influence of alcohol can lead to like crashes and accidents and things like that, so I'd rather not be in that situation.",-you're not putting yourself-
528,Yeah.,"-in those situations? That's great. You know, it's-it's tough to do sometimes, and I really commend you for being able to-to stick with that."
529,"Yeah, definitely.","So, you mentioned, you pretty much will like hold a drink or maybe have a drink or two. What do you thinks is the most alcohol you've ever had in-in one day?"
530,Thank you.,"Okay. So, the-the absolute most-"
531,Not more than two drinks.,"-was two? Okay. And, what kinds of things do you like about alcohol?"
532,Yeah.,Uh-huh.
533,"Um, I've never really been drunk-",Mm-hmm.
534,"-so, I can't really say that I like that feeling or not, but, it's just like-- I mean, you're just in a good mood.","So, it just kind of makes you feel relaxed or?"
535,So.,"Okay. Uh, anything else?"
536,"Yeah, yeah, relaxed.",Mm-hmm.
537,"Um, no, not really. Like I said, I don't drink that much-","Okay. And, any not-so-good things about alcohol?"
538,"So, I-I wouldn't be able to tell you.","Mm-hmm. So, you've seen a lot of other kids who-"
539,"Um, definitely, yeah. I mean, when I'm at parties and stuff and it's getting a little later, some people, um, that drink-- Like, drank too much, they start throwing up, or they get hurt, or they're really loud and obnoxious, and that's not fun for anybody.",-had some consequences-
540,Yeah.,-and decided that's not for you?
541,Yeah.,"Got it. I-I can understand that. [chuckles] Uh, any other things that you can think of?"
542,Yeah.,Mm-hmm.
543,"Um, no, I mean, I've never, you know, been friends with anybody that's gotten into like a serious accident and stuff. It's just-","Okay. Well, so, you know, as someone who's not 21 yet, it is-- Underage drinking is something that's not legal-"
544,"-very, like, obnoxious things.","-and it is something that is considered pretty risky. So, I wonder what you think about that, just in terms of how it fits into your life."
545,Yeah.,"Uh-huh. So, it's kind of something that you're—"
546,"Um, I know it's definitely risky, but, I mean, I guess, we still do it. [chuckles]","It's just there? Okay. And, I'm curious, you mentioned, you know, your friends are important to you, and your family's important to you, and, sort of fitting in is important to you. How does alcohol play a role with that?"
547,It's just there.,Okay.
548,"Um, well, definitely not in my family life, because my parents don't really condone-","Okay. So, from your family perspective, the drinking is not something that fits very well?"
